Date;Coil_No;R02;Rm;A50;NominalThickness;SpecimenTNhickness;Nominal_WAildth;Alloy_id;Temper_id;Tensile_Method;hmexitthick;pcode;totstrain;Fe;Si;Cu;Mg;Mn;Cr;Ti;Zn
3/1/2019 8:59;184267501B00;203.519;2.274.401;2.992.858;0.25;0.251;117.0;300511;H48;0;3.8;2054;2.721.295;0.39701;0.12287;0.12079;0.54265;102.132;0.00144;0.00927;0.0241
3/1/2019 8:59;184267501B00;2.031.841;227.346;2.639.695;0.25;0.249;117.0;300511;H48;0;3.8;2054;2.721.295;0.39701;0.12287;0.12079;0.54265;102.132;0.00144;0.00927;0.0241
3/1/2019 15:21;183978401A00;3.621.479;4.119.241;6.485.184;0.216;0.216;496.29;518246E;H49;0;2.8;4020;2.562.096;0.13544;0.07447;0.05694;484.478;0.45001;0.049;0.00449;0.00897
3/1/2019 15:21;183978401A00;362.677;4.109.164;6.323.649;0.216;0.216;496.29;518246E;H49;0;2.8;4020;2.562.096;0.13544;0.07447;0.05694;484.478;0.45001;0.049;0.00449;0.00897
3/1/2019 15:21;183978401A00;3.661.075;4.162.446;6.178.051;0.216;0.215;496.29;518246E;H49;0;2.8;4020;2.562.096;0.13544;0.07447;0.05694;484.478;0.45001;0.049;0.00449;0.00897
3/1/2019 15:21;183978401A00;3.653.143;4.165.177;6.555.689;0.216;0.215;496.29;518246E;H49;0;2.8;4020;2.562.096;0.13544;0.07447;0.05694;484.478;0.45001;0.049;0.00449;0.00897
3/1/2019 15:22;184265401B01;2.331.128;2.945.266;9.302.258;0.213;0.216;954.1;504206;H24;0;2.8;4030;2.576.083;0.2795;0.10528;0.03384;36.298;0.37648;0.03386;0.02236;0.01316
3/1/2019 15:22;184265401B01;2.347.571;2.955.597;9.885.053;0.213;0.216;954.1;504206;H24;0;2.8;4030;2.576.083;0.2795;0.10528;0.03384;36.298;0.37648;0.03386;0.02236;0.01316
3/1/2019 15:22;184265401B01;2.362.749;2.963.942;7.533.596;0.213;0.217;954.1;504206;H24;0;2.8;4030;2.576.083;0.2795;0.10528;0.03384;36.298;0.37648;0.03386;0.02236;0.01316
3/1/2019 15:22;184265401B01;2.360.067;2.973.736;7.515.246;0.213;0.217;954.1;504206;H24;0;2.8;4030;2.576.083;0.2795;0.10528;0.03384;36.298;0.37648;0.03386;0.02236;0.01316
3/1/2019 15:38;183978401B00;3.631.185;413.933;6.874.561;0.216;0.216;496.29;518246E;H49;0;2.8;4020;2.562.096;0.13544;0.07447;0.05694;484.478;0.45001;0.049;0.00449;0.00897
3/1/2019 15:38;183978401B00;3.633.549;4.145.297;6.415.859;0.216;0.216;496.29;518246E;H49;0;2.8;4020;2.562.096;0.13544;0.07447;0.05694;484.478;0.45001;0.049;0.00449;0.00897
3/1/2019 15:38;183978401B00;357.901;4.159.419;6.135.843;0.216;0.216;496.29;518246E;H49;0;2.8;4020;2.562.096;0.13544;0.07447;0.05694;484.478;0.45001;0.049;0.00449;0.00897
3/1/2019 15:38;183978401B00;3.587.219;4.161.872;612.078;0.216;0.216;496.29;518246E;H49;0;2.8;4020;2.562.096;0.13544;0.07447;0.05694;484.478;0.45001;0.049;0.00449;0.00897
3/1/2019 15:47;184182001A00;3.551.626;4.062.422;6.199.495;0.216;0.216;496.29;518246E;H49;0;2.8;4020;2.562.096;0.15605;0.07377;0.05764;481.929;0.44746;0.04623;0.00368;0.01014
3/1/2019 15:47;184182001A00;3.549.386;4.068.323;6.075.417;0.216;0.216;496.29;518246E;H49;0;2.8;4020;2.562.096;0.15605;0.07377;0.05764;481.929;0.44746;0.04623;0.00368;0.01014
3/1/2019 15:47;184182001A00;3.588.698;4.122.215;643.885;0.216;0.215;496.29;518246E;H49;0;2.8;4020;2.562.096;0.15605;0.07377;0.05764;481.929;0.44746;0.04623;0.00368;0.01014
3/1/2019 15:47;184182001A00;3.586.483;4.127.676;6.098.197;0.216;0.215;496.29;518246E;H49;0;2.8;4020;2.562.096;0.15605;0.07377;0.05764;481.929;0.44746;0.04623;0.00368;0.01014
3/1/2019 15:54;184182101A00;3.595.557;4.104.812;6.308.861;0.216;0.217;496.29;518246E;H49;0;2.8;4020;2.562.096;0.15439;0.06712;0.05503;481.799;0.4515;0.04661;0.00375;0.01194
3/1/2019 15:54;184182101A00;359.75;410.105;6.233.621;0.216;0.217;496.29;518246E;H49;0;2.8;4020;2.562.096;0.15439;0.06712;0.05503;481.799;0.4515;0.04661;0.00375;0.01194
3/1/2019 15:54;184182101A00;3.623.501;4.132.435;6.479.983;0.216;0.216;496.29;518246E;H49;0;2.8;4020;2.562.096;0.15439;0.06712;0.05503;481.799;0.4515;0.04661;0.00375;0.01194
3/1/2019 15:54;184182101A00;3.641.466;4.157.828;6.148.551;0.216;0.216;496.29;518246E;H49;0;2.8;4020;2.562.096;0.15439;0.06712;0.05503;481.799;0.4515;0.04661;0.00375;0.01194
3/1/2019 16:08;184182201A00;3.558.428;4.094.121;6.274.935;0.216;0.217;496.29;518246E;H49;0;2.8;4020;2.562.096;0.15605;0.07377;0.05764;481.929;0.44746;0.04623;0.00368;0.01014
3/1/2019 16:08;184182201A00;3.562.061;4.093.923;6.174.433;0.216;0.217;496.29;518246E;H49;0;2.8;4020;2.562.096;0.15605;0.07377;0.05764;481.929;0.44746;0.04623;0.00368;0.01014
3/1/2019 16:08;184182201A00;3.603.039;411.134;6.525.641;0.216;0.218;496.29;518246E;H49;0;2.8;4020;2.562.096;0.15605;0.07377;0.05764;481.929;0.44746;0.04623;0.00368;0.01014
